date,prefecture_code,prefecture_name,count_first_or_mid_general,count_second_or_full_general
2021-06-01,01,北海道,167300,10101
2021-06-01,02,青森県,72335,7251
2021-06-01,03,岩手県,55478,6797
2021-06-01,04,宮城県,87499,6211
2021-06-01,05,秋田県,59553,8956
2021-06-01,06,山形県,72075,12782
2021-06-01,07,福島県,117336,13045
2021-06-01,08,茨城県,97530,6096
2021-06-01,09,栃木県,53564,5223
2021-06-01,10,群馬県,92045,7178
2021-06-01,11,埼玉県,235533,8730
2021-06-01,12,千葉県,214073,8344
2021-06-01,13,東京都,515455,20398
2021-06-01,14,神奈川県,238865,11363
2021-06-01,15,新潟県,112833,9978
2021-06-01,16,富山県,48786,1965
2021-06-01,17,石川県,74197,9349
2021-06-01,18,福井県,47000,5757
2021-06-01,19,山梨県,34414,5307
2021-06-01,20,長野県,97857,9817
2021-06-01,21,岐阜県,107796,7520
2021-06-01,22,静岡県,123510,5221
2021-06-01,23,愛知県,307569,13947
2021-06-01,24,三重県,47225,4434
2021-06-01,25,滋賀県,62080,6413
2021-06-01,26,京都府,128920,3438
2021-06-01,27,大阪府,306033,19771
2021-06-01,28,兵庫県,172422,11471
2021-06-01,29,奈良県,49183,5157
2021-06-01,30,和歌山県,87610,14680
2021-06-01,31,鳥取県,44135,7616
2021-06-01,32,島根県,36091,5029
2021-06-01,33,岡山県,127808,4436
2021-06-01,34,広島県,96173,10721
2021-06-01,35,山口県,121495,10164
2021-06-01,36,徳島県,40041,5141
2021-06-01,37,香川県,54299,11109
2021-06-01,38,愛媛県,54395,4258
2021-06-01,39,高知県,58104,5628
2021-06-01,40,福岡県,207035,7958
2021-06-01,41,佐賀県,60602,5666
2021-06-01,42,長崎県,47714,7943
2021-06-01,43,熊本県,91020,7802
2021-06-01,44,大分県,55016,6979
2021-06-01,45,宮崎県,78156,8068
2021-06-01,46,鹿児島県,79264,9080
2021-06-01,47,沖縄県,49426,5282
