,date,gender,age,medical_worker,status,count
48,2021-04-12,U,UNK,False,1,1
175,2021-04-13,F,-64,False,1,1
293,2021-04-14,F,-64,False,1,2
294,2021-04-14,F,65-,False,1,102
295,2021-04-14,M,65-,False,1,94
432,2021-04-15,F,-64,False,1,2
433,2021-04-15,F,65-,False,1,3
434,2021-04-15,M,-64,False,1,1
582,2021-04-16,F,-64,False,1,11
583,2021-04-16,F,65-,False,1,1
584,2021-04-16,M,-64,False,1,1
585,2021-04-16,M,65-,False,1,1
711,2021-04-17,F,-64,False,1,2
712,2021-04-17,F,65-,False,1,87
713,2021-04-17,M,65-,False,1,140
714,2021-04-17,U,UNK,False,1,3
814,2021-04-18,F,65-,False,1,460
815,2021-04-18,M,65-,False,1,309
947,2021-04-19,F,-64,False,1,24
948,2021-04-19,F,65-,False,1,153
949,2021-04-19,M,-64,False,1,4
950,2021-04-19,M,65-,False,1,36
951,2021-04-19,U,UNK,False,1,18
1157,2021-04-20,F,-64,False,1,26
1158,2021-04-20,F,65-,False,1,110
1159,2021-04-20,M,-64,False,1,12
1160,2021-04-20,M,65-,False,1,32
1161,2021-04-20,U,UNK,False,1,16
1374,2021-04-21,F,-64,False,1,43
1375,2021-04-21,F,65-,False,1,225
1376,2021-04-21,M,-64,False,1,11
1377,2021-04-21,M,65-,False,1,115
1378,2021-04-21,U,UNK,False,1,19
1593,2021-04-22,F,-64,False,1,54
1594,2021-04-22,F,65-,False,1,190
1595,2021-04-22,M,-64,False,1,14
1596,2021-04-22,M,65-,False,1,56
1597,2021-04-22,U,UNK,False,1,19
1810,2021-04-23,F,-64,False,1,48
1811,2021-04-23,F,65-,False,1,113
1812,2021-04-23,M,-64,False,1,6
1813,2021-04-23,M,65-,False,1,34
1814,2021-04-23,U,UNK,False,1,22
2014,2021-04-24,F,-64,False,1,26
2015,2021-04-24,F,65-,False,1,209
2016,2021-04-24,M,-64,False,1,4
2017,2021-04-24,M,65-,False,1,132
2018,2021-04-24,U,UNK,False,1,27
2191,2021-04-25,F,-64,False,1,1
2192,2021-04-25,F,65-,False,1,368
2193,2021-04-25,M,-64,False,1,5
2194,2021-04-25,M,65-,False,1,241
2195,2021-04-25,U,UNK,False,1,1
2358,2021-04-26,F,-64,False,1,58
2359,2021-04-26,F,65-,False,1,268
2360,2021-04-26,M,-64,False,1,19
2361,2021-04-26,M,65-,False,1,189
2362,2021-04-26,U,UNK,False,1,13
2577,2021-04-27,F,-64,False,1,101
2578,2021-04-27,F,65-,False,1,273
2579,2021-04-27,M,-64,False,1,21
2580,2021-04-27,M,65-,False,1,211
2581,2021-04-27,U,UNK,False,1,35
2801,2021-04-28,F,-64,False,1,171
2802,2021-04-28,F,65-,False,1,446
2803,2021-04-28,M,-64,False,1,15
2804,2021-04-28,M,65-,False,1,266
2805,2021-04-28,U,UNK,False,1,40
3004,2021-04-29,F,-64,False,1,1
3005,2021-04-29,F,65-,False,1,209
3006,2021-04-29,M,-64,False,1,3
3007,2021-04-29,M,65-,False,1,134
3008,2021-04-29,U,UNK,False,1,2
3197,2021-04-30,F,-64,False,1,99
3198,2021-04-30,F,65-,False,1,330
3199,2021-04-30,M,-64,False,1,17
3200,2021-04-30,M,65-,False,1,270
3201,2021-04-30,U,UNK,False,1,16
3402,2021-05-01,F,65-,False,1,428
3403,2021-05-01,M,65-,False,1,340
3404,2021-05-01,U,UNK,False,1,1
3583,2021-05-02,F,-64,False,1,5
3584,2021-05-02,F,65-,False,1,340
3585,2021-05-02,M,-64,False,1,3
3586,2021-05-02,M,65-,False,1,190
3587,2021-05-02,U,UNK,False,1,2
3731,2021-05-03,F,-64,False,1,4
3732,2021-05-03,F,65-,False,1,86
3733,2021-05-03,M,-64,False,1,3
3734,2021-05-03,M,65-,False,1,67
3890,2021-05-04,F,-64,False,1,1
3891,2021-05-04,F,65-,False,1,108
3892,2021-05-04,M,-64,False,1,4
3893,2021-05-04,M,65-,False,1,81
3894,2021-05-04,U,UNK,False,1,1
4039,2021-05-05,F,65-,False,1,249
4040,2021-05-05,F,65-,False,2,100
4041,2021-05-05,M,-64,False,1,3
4042,2021-05-05,M,65-,False,1,205
4043,2021-05-05,M,65-,False,2,93
4276,2021-05-06,F,-64,False,1,13
4277,2021-05-06,F,65-,False,1,1253
4278,2021-05-06,F,65-,False,2,1
4279,2021-05-06,M,-64,False,1,8
4280,2021-05-06,M,65-,False,1,817
4281,2021-05-06,U,UNK,False,1,10
4621,2021-05-07,F,-64,False,1,4
4622,2021-05-07,F,65-,False,1,527
4623,2021-05-07,F,65-,False,2,1
4624,2021-05-07,M,-64,False,1,2
4625,2021-05-07,M,65-,False,1,289
4626,2021-05-07,M,65-,False,2,1
4627,2021-05-07,U,UNK,False,1,2
4932,2021-05-08,F,-64,False,1,10
4933,2021-05-08,F,65-,False,1,1658
4934,2021-05-08,F,65-,False,2,87
4935,2021-05-08,M,-64,False,1,8
4936,2021-05-08,M,65-,False,1,1107
4937,2021-05-08,M,65-,False,2,138
4938,2021-05-08,U,UNK,False,1,2
4939,2021-05-08,U,UNK,False,2,2
5223,2021-05-09,F,-64,False,1,10
