,date,prefecture,gender,age,medical_worker,status,count
59,2021-04-12,23,F,-64,False,1,2
60,2021-04-12,23,U,UNK,False,1,1
200,2021-04-13,23,F,-64,False,1,1
201,2021-04-13,23,M,-64,False,1,2
342,2021-04-14,23,F,-64,False,1,6
343,2021-04-14,23,F,65-,False,1,103
344,2021-04-14,23,M,65-,False,1,94
505,2021-04-15,23,F,-64,False,1,8
506,2021-04-15,23,F,65-,False,1,3
507,2021-04-15,23,M,-64,False,1,2
684,2021-04-16,23,F,-64,False,1,64
685,2021-04-16,23,F,65-,False,1,1
686,2021-04-16,23,M,-64,False,1,12
687,2021-04-16,23,M,65-,False,1,1
855,2021-04-17,23,F,-64,False,1,7
856,2021-04-17,23,F,65-,False,1,87
857,2021-04-17,23,M,-64,False,1,2
858,2021-04-17,23,M,65-,False,1,139
859,2021-04-17,23,U,UNK,False,1,1
985,2021-04-18,23,F,65-,False,1,460
986,2021-04-18,23,M,65-,False,1,309
1144,2021-04-19,23,F,-64,False,1,196
1145,2021-04-19,23,F,65-,False,1,172
1146,2021-04-19,23,M,-64,False,1,42
1147,2021-04-19,23,M,65-,False,1,49
1148,2021-04-19,23,U,UNK,False,1,1
1370,2021-04-20,23,F,-64,False,1,310
1371,2021-04-20,23,F,65-,False,1,137
1372,2021-04-20,23,M,-64,False,1,57
1373,2021-04-20,23,M,65-,False,1,45
1374,2021-04-20,23,U,UNK,False,1,8
1602,2021-04-21,23,F,-64,False,1,291
1603,2021-04-21,23,F,65-,False,1,254
1604,2021-04-21,23,M,-64,False,1,61
1605,2021-04-21,23,M,65-,False,1,132
1606,2021-04-21,23,U,UNK,False,1,2
1835,2021-04-22,23,F,-64,False,1,279
1836,2021-04-22,23,F,65-,False,1,210
1837,2021-04-22,23,M,-64,False,1,72
1838,2021-04-22,23,M,65-,False,1,66
1839,2021-04-22,23,U,UNK,False,1,7
2066,2021-04-23,23,F,-64,False,1,249
2067,2021-04-23,23,F,65-,False,1,128
2068,2021-04-23,23,M,-64,False,1,63
2069,2021-04-23,23,M,65-,False,1,44
2070,2021-04-23,23,U,UNK,False,1,6
2287,2021-04-24,23,F,-64,False,1,122
2288,2021-04-24,23,F,65-,False,1,239
2289,2021-04-24,23,M,-64,False,1,42
2290,2021-04-24,23,M,65-,False,1,140
2291,2021-04-24,23,U,UNK,False,1,3
2488,2021-04-25,23,F,-64,False,1,46
2489,2021-04-25,23,F,65-,False,1,373
2490,2021-04-25,23,M,-64,False,1,13
2491,2021-04-25,23,M,65-,False,1,244
2492,2021-04-25,23,U,UNK,False,1,1
2675,2021-04-26,23,F,-64,False,1,275
2676,2021-04-26,23,F,65-,False,1,320
2677,2021-04-26,23,M,-64,False,1,94
2678,2021-04-26,23,M,65-,False,1,203
2679,2021-04-26,23,U,UNK,False,1,1
2906,2021-04-27,23,F,-64,False,1,346
2907,2021-04-27,23,F,65-,False,1,354
2908,2021-04-27,23,M,-64,False,1,78
2909,2021-04-27,23,M,65-,False,1,238
2910,2021-04-27,23,U,UNK,False,1,8
3139,2021-04-28,23,F,-64,False,1,448
3140,2021-04-28,23,F,65-,False,1,494
3141,2021-04-28,23,M,-64,False,1,76
3142,2021-04-28,23,M,65-,False,1,299
3143,2021-04-28,23,U,UNK,False,1,6
3356,2021-04-29,23,F,-64,False,1,15
3357,2021-04-29,23,F,65-,False,1,207
3358,2021-04-29,23,M,-64,False,1,6
3359,2021-04-29,23,M,65-,False,1,136
3360,2021-04-29,23,U,UNK,False,1,3
3562,2021-04-30,23,F,-64,False,1,336
3563,2021-04-30,23,F,65-,False,1,418
3564,2021-04-30,23,M,-64,False,1,65
3565,2021-04-30,23,M,65-,False,1,293
3566,2021-04-30,23,U,UNK,False,1,4
3783,2021-05-01,23,F,-64,False,1,98
3784,2021-05-01,23,F,65-,False,1,461
3785,2021-05-01,23,M,-64,False,1,27
3786,2021-05-01,23,M,65-,False,1,357
3787,2021-05-01,23,U,UNK,False,1,4
3982,2021-05-02,23,F,-64,False,1,4
3983,2021-05-02,23,F,65-,False,1,342
3984,2021-05-02,23,M,-64,False,1,3
3985,2021-05-02,23,M,65-,False,1,190
3986,2021-05-02,23,U,UNK,False,1,2
4149,2021-05-03,23,F,-64,False,1,3
4150,2021-05-03,23,F,65-,False,1,87
4151,2021-05-03,23,M,-64,False,1,3
4152,2021-05-03,23,M,65-,False,1,67
4316,2021-05-04,23,F,-64,False,1,1
4317,2021-05-04,23,F,65-,False,1,108
4318,2021-05-04,23,M,-64,False,1,4
4319,2021-05-04,23,M,65-,False,1,81
4320,2021-05-04,23,U,UNK,False,1,1
4486,2021-05-05,23,F,65-,False,1,249
4487,2021-05-05,23,F,65-,False,2,100
4488,2021-05-05,23,M,-64,False,1,3
4489,2021-05-05,23,M,65-,False,1,205
4490,2021-05-05,23,M,65-,False,2,93
4754,2021-05-06,23,F,-64,False,1,18
4755,2021-05-06,23,F,-64,False,2,1
4756,2021-05-06,23,F,65-,False,1,1279
4757,2021-05-06,23,F,65-,False,2,1
4758,2021-05-06,23,M,-64,False,1,9
4759,2021-05-06,23,M,65-,False,1,822
4760,2021-05-06,23,U,UNK,False,1,14
5132,2021-05-07,23,F,-64,False,1,31
5133,2021-05-07,23,F,-64,False,2,50
5134,2021-05-07,23,F,65-,False,1,661
5135,2021-05-07,23,F,65-,False,2,1
5136,2021-05-07,23,M,-64,False,1,8
5137,2021-05-07,23,M,-64,False,2,8
5138,2021-05-07,23,M,65-,False,1,323
5139,2021-05-07,23,M,65-,False,2,1
5140,2021-05-07,23,U,UNK,False,1,3
5488,2021-05-08,23,F,-64,False,1,15
5489,2021-05-08,23,F,65-,False,1,1666
5490,2021-05-08,23,F,65-,False,2,87
5491,2021-05-08,23,M,-64,False,1,10
5492,2021-05-08,23,M,65-,False,1,1108
5493,2021-05-08,23,M,65-,False,2,137
5494,2021-05-08,23,U,UNK,False,1,2
5495,2021-05-08,23,U,UNK,False,2,3
5815,2021-05-09,23,F,-64,False,1,10
5816,2021-05-09,23,F,65-,False,1,1105
5817,2021-05-09,23,F,65-,False,2,455
5818,2021-05-09,23,M,-64,False,1,9
5819,2021-05-09,23,M,65-,False,1,784
5820,2021-05-09,23,M,65-,False,2,311
5821,2021-05-09,23,U,UNK,False,1,9
6181,2021-05-10,23,F,-64,False,1,65
6182,2021-05-10,23,F,-64,False,2,83
6183,2021-05-10,23,F,65-,False,1,1433
6184,2021-05-10,23,F,65-,False,2,116
6185,2021-05-10,23,M,-64,False,1,24
6186,2021-05-10,23,M,-64,False,2,22
6187,2021-05-10,23,M,65-,False,1,931
6188,2021-05-10,23,M,65-,False,2,33
6189,2021-05-10,23,U,UNK,False,1,18
6190,2021-05-10,23,U,UNK,False,2,1
6616,2021-05-11,23,F,-64,False,1,84
6617,2021-05-11,23,F,-64,False,2,173
6618,2021-05-11,23,F,65-,False,1,1887
6619,2021-05-11,23,F,65-,False,2,121
6620,2021-05-11,23,M,-64,False,1,43
6621,2021-05-11,23,M,-64,False,2,22
6622,2021-05-11,23,M,65-,False,1,1104
6623,2021-05-11,23,M,65-,False,2,31
6624,2021-05-11,23,U,UNK,False,1,16
6625,2021-05-11,23,U,UNK,False,2,4
7075,2021-05-12,23,F,-64,False,1,41
7076,2021-05-12,23,F,-64,False,2,121
7077,2021-05-12,23,F,65-,False,1,4520
7078,2021-05-12,23,F,65-,False,2,186
7079,2021-05-12,23,M,-64,False,1,21
7080,2021-05-12,23,M,-64,False,2,23
7081,2021-05-12,23,M,65-,False,1,3511
7082,2021-05-12,23,M,65-,False,2,101
7083,2021-05-12,23,U,UNK,False,1,25
7084,2021-05-12,23,U,UNK,False,2,2
7530,2021-05-13,23,F,-64,False,1,110
7531,2021-05-13,23,F,-64,False,2,140
7532,2021-05-13,23,F,65-,False,1,3236
7533,2021-05-13,23,F,65-,False,2,139
7534,2021-05-13,23,M,-64,False,1,48
7535,2021-05-13,23,M,-64,False,2,33
7536,2021-05-13,23,M,65-,False,1,2310
7537,2021-05-13,23,M,65-,False,2,52
7538,2021-05-13,23,U,UNK,False,1,21
7539,2021-05-13,23,U,UNK,False,2,3
7980,2021-05-14,23,F,-64,False,1,47
7981,2021-05-14,23,F,-64,False,2,95
7982,2021-05-14,23,F,65-,False,1,2292
7983,2021-05-14,23,F,65-,False,2,174
7984,2021-05-14,23,M,-64,False,1,33
7985,2021-05-14,23,M,-64,False,2,24
7986,2021-05-14,23,M,65-,False,1,1416
7987,2021-05-14,23,M,65-,False,2,42
7988,2021-05-14,23,U,UNK,False,1,12
7989,2021-05-14,23,U,UNK,False,2,4
8422,2021-05-15,23,F,-64,False,1,26
8423,2021-05-15,23,F,-64,False,2,21
8424,2021-05-15,23,F,65-,False,1,3070
8425,2021-05-15,23,F,65-,False,2,203
8426,2021-05-15,23,M,-64,False,1,36
8427,2021-05-15,23,M,-64,False,2,8
8428,2021-05-15,23,M,65-,False,1,2442
8429,2021-05-15,23,M,65-,False,2,135
8430,2021-05-15,23,U,UNK,False,1,6
8431,2021-05-15,23,U,UNK,False,2,2
8832,2021-05-16,23,F,-64,False,1,84
8833,2021-05-16,23,F,-64,False,2,1
8834,2021-05-16,23,F,65-,False,1,13522
8835,2021-05-16,23,F,65-,False,2,362
8836,2021-05-16,23,M,-64,False,1,102
8837,2021-05-16,23,M,-64,False,2,5
8838,2021-05-16,23,M,65-,False,1,10799
8839,2021-05-16,23,M,65-,False,2,243
8840,2021-05-16,23,U,UNK,False,1,28
9236,2021-05-17,23,F,-64,False,1,84
9237,2021-05-17,23,F,-64,False,2,59
9238,2021-05-17,23,F,65-,False,1,2864
