,date,prefecture,gender,age,medical_worker,status,count
52,2021-04-12,23,U,UNK,False,1,1
186,2021-04-13,23,F,-64,False,1,1
314,2021-04-14,23,F,-64,False,1,2
315,2021-04-14,23,F,65-,False,1,102
316,2021-04-14,23,M,65-,False,1,94
464,2021-04-15,23,F,-64,False,1,2
465,2021-04-15,23,F,65-,False,1,3
466,2021-04-15,23,M,-64,False,1,1
624,2021-04-16,23,F,-64,False,1,12
625,2021-04-16,23,F,65-,False,1,1
626,2021-04-16,23,M,-64,False,1,1
627,2021-04-16,23,M,65-,False,1,1
769,2021-04-17,23,F,-64,False,1,5
770,2021-04-17,23,F,65-,False,1,87
771,2021-04-17,23,M,65-,False,1,140
877,2021-04-18,23,F,65-,False,1,460
878,2021-04-18,23,M,65-,False,1,309
1015,2021-04-19,23,F,-64,False,1,76
1016,2021-04-19,23,F,65-,False,1,157
1017,2021-04-19,23,M,-64,False,1,27
1018,2021-04-19,23,M,65-,False,1,37
1019,2021-04-19,23,U,UNK,False,1,1
1227,2021-04-20,23,F,-64,False,1,85
1228,2021-04-20,23,F,65-,False,1,118
1229,2021-04-20,23,M,-64,False,1,28
1230,2021-04-20,23,M,65-,False,1,34
1231,2021-04-20,23,U,UNK,False,1,3
1445,2021-04-21,23,F,-64,False,1,117
1446,2021-04-21,23,F,65-,False,1,232
1447,2021-04-21,23,M,-64,False,1,31
1448,2021-04-21,23,M,65-,False,1,117
1449,2021-04-21,23,U,UNK,False,1,2
1665,2021-04-22,23,F,-64,False,1,127
1666,2021-04-22,23,F,65-,False,1,193
1667,2021-04-22,23,M,-64,False,1,46
1668,2021-04-22,23,M,65-,False,1,60
1669,2021-04-22,23,U,UNK,False,1,5
1883,2021-04-23,23,F,-64,False,1,130
1884,2021-04-23,23,F,65-,False,1,117
1885,2021-04-23,23,M,-64,False,1,34
1886,2021-04-23,23,M,65-,False,1,39
1887,2021-04-23,23,U,UNK,False,1,5
2090,2021-04-24,23,F,-64,False,1,63
2091,2021-04-24,23,F,65-,False,1,210
2092,2021-04-24,23,M,-64,False,1,16
2093,2021-04-24,23,M,65-,False,1,135
2094,2021-04-24,23,U,UNK,False,1,3
2273,2021-04-25,23,F,-64,False,1,1
2274,2021-04-25,23,F,65-,False,1,368
2275,2021-04-25,23,M,-64,False,1,5
2276,2021-04-25,23,M,65-,False,1,241
2277,2021-04-25,23,U,UNK,False,1,1
2441,2021-04-26,23,F,-64,False,1,129
2442,2021-04-26,23,F,65-,False,1,275
2443,2021-04-26,23,M,-64,False,1,46
2444,2021-04-26,23,M,65-,False,1,195
2661,2021-04-27,23,F,-64,False,1,177
2662,2021-04-27,23,F,65-,False,1,290
2663,2021-04-27,23,M,-64,False,1,40
2664,2021-04-27,23,M,65-,False,1,218
2665,2021-04-27,23,U,UNK,False,1,2
2887,2021-04-28,23,F,-64,False,1,265
2888,2021-04-28,23,F,65-,False,1,459
2889,2021-04-28,23,M,-64,False,1,39
2890,2021-04-28,23,M,65-,False,1,288
2891,2021-04-28,23,U,UNK,False,1,3
3092,2021-04-29,23,F,-64,False,1,2
3093,2021-04-29,23,F,65-,False,1,209
3094,2021-04-29,23,M,-64,False,1,3
3095,2021-04-29,23,M,65-,False,1,134
3096,2021-04-29,23,U,UNK,False,1,1
3291,2021-04-30,23,F,-64,False,1,161
3292,2021-04-30,23,F,65-,False,1,349
3293,2021-04-30,23,M,-64,False,1,31
3294,2021-04-30,23,M,65-,False,1,277
3295,2021-04-30,23,U,UNK,False,1,1
3503,2021-05-01,23,F,65-,False,1,439
3504,2021-05-01,23,M,65-,False,1,344
3505,2021-05-01,23,U,UNK,False,1,1
3691,2021-05-02,23,F,-64,False,1,4
3692,2021-05-02,23,F,65-,False,1,342
3693,2021-05-02,23,M,-64,False,1,3
3694,2021-05-02,23,M,65-,False,1,190
3695,2021-05-02,23,U,UNK,False,1,2
3841,2021-05-03,23,F,-64,False,1,3
3842,2021-05-03,23,F,65-,False,1,87
3843,2021-05-03,23,M,-64,False,1,3
3844,2021-05-03,23,M,65-,False,1,67
4001,2021-05-04,23,F,-64,False,1,1
4002,2021-05-04,23,F,65-,False,1,108
4003,2021-05-04,23,M,-64,False,1,4
4004,2021-05-04,23,M,65-,False,1,81
4005,2021-05-04,23,U,UNK,False,1,1
4155,2021-05-05,23,F,65-,False,1,249
4156,2021-05-05,23,F,65-,False,2,100
4157,2021-05-05,23,M,-64,False,1,3
4158,2021-05-05,23,M,65-,False,1,205
4159,2021-05-05,23,M,65-,False,2,93
4398,2021-05-06,23,F,-64,False,1,13
4399,2021-05-06,23,F,65-,False,1,1252
4400,2021-05-06,23,F,65-,False,2,1
4401,2021-05-06,23,M,-64,False,1,8
4402,2021-05-06,23,M,65-,False,1,817
4403,2021-05-06,23,U,UNK,False,1,11
4751,2021-05-07,23,F,-64,False,1,4
4752,2021-05-07,23,F,65-,False,1,529
4753,2021-05-07,23,F,65-,False,2,1
4754,2021-05-07,23,M,-64,False,1,2
4755,2021-05-07,23,M,65-,False,1,291
4756,2021-05-07,23,M,65-,False,2,1
4757,2021-05-07,23,U,UNK,False,1,2
5070,2021-05-08,23,F,-64,False,1,10
5071,2021-05-08,23,F,65-,False,1,1662
5072,2021-05-08,23,F,65-,False,2,87
5073,2021-05-08,23,M,-64,False,1,8
5074,2021-05-08,23,M,65-,False,1,1107
5075,2021-05-08,23,M,65-,False,2,138
5076,2021-05-08,23,U,UNK,False,1,2
5077,2021-05-08,23,U,UNK,False,2,2
5368,2021-05-09,23,F,-64,False,1,10
5369,2021-05-09,23,F,65-,False,1,1101
5370,2021-05-09,23,F,65-,False,2,455
5371,2021-05-09,23,M,-64,False,1,9
5372,2021-05-09,23,M,65-,False,1,785
5373,2021-05-09,23,M,65-,False,2,311
5374,2021-05-09,23,U,UNK,False,1,8
5702,2021-05-10,23,F,-64,False,1,24
5703,2021-05-10,23,F,65-,False,1,1379
5704,2021-05-10,23,F,65-,False,2,109
5705,2021-05-10,23,M,-64,False,1,21
5706,2021-05-10,23,M,65-,False,1,918
5707,2021-05-10,23,M,65-,False,2,29
5708,2021-05-10,23,U,UNK,False,1,13
5709,2021-05-10,23,U,UNK,False,2,1
6114,2021-05-11,23,F,-64,False,1,16
6115,2021-05-11,23,F,65-,False,1,1811
6116,2021-05-11,23,F,65-,False,2,95
6117,2021-05-11,23,M,-64,False,1,21
6118,2021-05-11,23,M,65-,False,1,1085
6119,2021-05-11,23,M,65-,False,2,25
6120,2021-05-11,23,U,UNK,False,1,15
6121,2021-05-11,23,U,UNK,False,2,2
6553,2021-05-12,23,F,-64,False,1,15
6554,2021-05-12,23,F,65-,False,1,4484
